TEMPERATURA,HUMEDAD RELATIVA,HUMEDAD DE LA TIERRA,NIVEL UV,INTENSIDAD LUMÍNICA,HORA,TIME
24,93,68.55,0,3524,17,2018-05-09 17:14:00
24,93,68.55,0,3472,17,2018-05-09 17:15:00
24,93,68.55,0,3354,17,2018-05-09 17:16:00
24,93,68.71,0,3219,17,2018-05-09 17:17:00
24,93,68.55,0,3085,17,2018-05-09 17:18:00
24,93,68.71,0,2973,17,2018-05-09 17:19:00
24,93,68.55,0,2809,17,2018-05-09 17:20:00
24,93,68.55,0,2621,17,2018-05-09 17:21:00
24,93,68.71,0,2469,17,2018-05-09 17:22:00
24,93,68.71,0,2287,17,2018-05-09 17:23:00
24,93,68.71,0,2111,17,2018-05-09 17:24:00
24,93,68.71,0,1923,17,2018-05-09 17:25:00
24,93,68.71,0,1782,17,2018-05-09 17:26:00
24,93,68.71,0,1712,17,2018-05-09 17:27:00
24,93,68.71,0,1700,17,2018-05-09 17:28:00
24,93,69.03,0,1695,17,2018-05-09 17:29:00
24,93,68.71,0,1659,17,2018-05-09 17:30:00
24,93,68.71,0,1618,17,2018-05-09 17:31:00
24,93,68.55,0,1612,17,2018-05-09 17:32:00
24,93,68.55,0,1554,17,2018-05-09 17:33:00
24,93,68.55,0,1436,17,2018-05-09 17:34:00
24,93,68.55,0,1348,17,2018-05-09 17:35:00
24,93,68.55,0,1249,17,2018-05-09 17:36:00
24,93,68.71,0,1126,17,2018-05-09 17:37:00
24,93,68.71,0,1008,17,2018-05-09 17:38:00
24,93,68.71,0,891,17,2018-05-09 17:39:00
24,93,68.71,0,756,17,2018-05-09 17:40:00
24,93,69.03,0,621,17,2018-05-09 17:41:00
24,93,68.71,0,498,17,2018-05-09 17:42:00
24,93,68.71,0,398,17,2018-05-09 17:43:00
24,93,68.55,0,328,17,2018-05-09 17:44:00
24,93,68.39,0,269,17,2018-05-09 17:45:00
24,93,68.23,0,228,17,2018-05-09 17:46:00
24,93,68.39,0,193,17,2018-05-09 17:47:00
24,93,69.03,0,158,17,2018-05-09 17:48:00
24,93,68.39,0,129,17,2018-05-09 17:49:00
24,93,68.55,0,105,17,2018-05-09 17:50:00
24,93,68.39,0,87,17,2018-05-09 17:51:00
24,93,68.39,0,70,17,2018-05-09 17:52:00
24,93,68.39,0,58,17,2018-05-09 17:53:00
24,93,68.55,0,46,17,2018-05-09 17:54:00
24,93,68.55,0,35,17,2018-05-09 17:55:00
24,93,68.39,0,29,17,2018-05-09 17:56:00
24,93,68.39,0,17,17,2018-05-09 17:57:00
24,93,68.39,0,11,17,2018-05-09 17:58:00
24,93,68.23,0,11,17,2018-05-09 17:59:00
24,93,68.23,0,5,18,2018-05-09 18:00:00
24,93,68.23,0,0,18,2018-05-09 18:01:00
24,93,68.23,0,0,18,2018-05-09 18:02:00
24,93,68.23,0,0,18,2018-05-09 18:03:00
24,93,68.55,0,0,18,2018-05-09 18:04:00
24,93,68.23,0,0,18,2018-05-09 18:05:00
24,93,68.07,0,0,18,2018-05-09 18:06:00
24,93,68.07,0,0,18,2018-05-09 18:07:00
24,93,67.91,0,0,18,2018-05-09 18:08:00
24,93,68.07,0,0,18,2018-05-09 18:09:00
24,93,67.91,0,0,18,2018-05-09 18:10:00
24,93,68.07,0,0,18,2018-05-09 18:11:00
24,93,68.07,0,0,18,2018-05-09 18:12:00
24,93,68.71,0,0,18,2018-05-09 18:13:00
24,93,68.87,0,0,18,2018-05-09 18:14:00
24,93,68.55,0,0,18,2018-05-09 18:15:00
24,93,68.23,0,0,18,2018-05-09 18:16:00
24,93,68.39,0,0,18,2018-05-09 18:17:00
24,93,68.39,0,0,18,2018-05-09 18:18:00
24,93,68.39,0,0,18,2018-05-09 18:19:00
24,93,68.23,0,0,18,2018-05-09 18:20:00
24,93,68.23,0,0,18,2018-05-09 18:21:00
24,93,68.39,0,0,18,2018-05-09 18:22:00
24,93,68.07,0,0,18,2018-05-09 18:23:00
24,93,67.91,0,0,18,2018-05-09 18:24:00
24,94,67.91,0,0,18,2018-05-09 18:25:00
24,94,68.07,0,0,18,2018-05-09 18:26:00
24,94,67.91,0,0,18,2018-05-09 18:27:00
24,94,68.39,0,0,18,2018-05-09 18:28:00
24,94,67.91,0,0,18,2018-05-09 18:29:00
24,94,67.91,0,0,18,2018-05-09 18:30:00
24,94,67.75,0,0,18,2018-05-09 18:31:00
24,94,67.75,0,0,18,2018-05-09 18:32:00
24,94,67.75,0,0,18,2018-05-09 18:33:00
24,94,67.75,0,0,18,2018-05-09 18:34:00
24,94,67.75,0,0,18,2018-05-09 18:35:00
24,94,67.58,0,0,18,2018-05-09 18:36:00
24,94,67.58,0,0,18,2018-05-09 18:37:00
24,94,67.75,0,0,18,2018-05-09 18:38:00
24,94,67.58,0,0,18,2018-05-09 18:39:00
24,94,67.42,0,0,18,2018-05-09 18:40:00
24,94,67.42,0,0,18,2018-05-09 18:41:00
24,94,67.58,0,0,18,2018-05-09 18:42:00
24,94,67.42,0,0,18,2018-05-09 18:43:00
24,94,67.42,0,0,18,2018-05-09 18:44:00
24,94,67.91,0,0,18,2018-05-09 18:45:00
24,94,67.75,0,0,18,2018-05-09 18:46:00
24,94,67.58,0,0,18,2018-05-09 18:47:00
24,94,67.91,0,0,18,2018-05-09 18:48:00
24,94,67.58,0,0,18,2018-05-09 18:49:00
24,94,67.58,0,0,18,2018-05-09 18:50:00
24,94,67.58,0,0,18,2018-05-09 18:51:00
24,94,67.58,0,0,18,2018-05-09 18:52:00
24,94,67.58,0,0,18,2018-05-09 18:53:00
24,94,67.58,0,0,18,2018-05-09 18:54:00
24,94,67.58,0,0,18,2018-05-09 18:55:00
24,94,67.75,0,0,18,2018-05-09 18:56:00
24,94,67.91,0,0,18,2018-05-09 18:57:00
24,94,68.07,0,0,18,2018-05-09 18:58:00
24,94,68.23,0,0,18,2018-05-09 18:59:00
24,94,67.75,0,0,19,2018-05-09 19:00:00
24,94,67.75,0,0,19,2018-05-09 19:01:00
24,94,67.58,0,0,19,2018-05-09 19:02:00
24,94,67.58,0,0,19,2018-05-09 19:03:00
24,94,67.58,0,0,19,2018-05-09 19:04:00
24,94,67.58,0,0,19,2018-05-09 19:05:00
24,94,67.58,0,0,19,2018-05-09 19:06:00
24,94,67.58,0,0,19,2018-05-09 19:07:00
24,94,67.58,0,0,19,2018-05-09 19:08:00
24,94,67.58,0,0,19,2018-05-09 19:09:00
24,94,67.58,0,0,19,2018-05-09 19:10:00
24,94,67.58,0,0,19,2018-05-09 19:11:00
24,94,67.42,0,0,19,2018-05-09 19:12:00
